OM,Slovakia,504,EU,15,28,49.00,-20.00,-1.0,OM;
ON,Belgium,209,EU,14,27,50.70,-4.85,-1.0,ON OO OP OQ OR OS OT;
OX,Greenland,237,NA,40,5,74.00,42.78,3.0,OX XP;
OY,Faroe Islands,222,EU,14,18,62.07,6.93,0.0,OW OY;
OZ,Denmark,221,EU,14,18,56.00,-10.00,-1.0,5P 5Q OU OV OZ;
P2,Papua New Guinea,163,OC,28,51,-9.50,-147.12,-10.0,P2;
P4,Aruba,91,SA,9,11,12.53,69.98,4.0,P4;
PA,Netherlands,263,EU,14,27,52.28,-5.47,-1.0,PA PB PC PD PE PF PG PH PI;
PJ2,Curacao,517,SA,9,11,12.17,69.00,4.0,PJ2;
PJ4,Bonaire,520,SA,9,11,12.20,68.25,4.0,PJ4;
PJ5,St. Eustatius & Saba,519,NA,8,11,17.57,63.10,4.0,PJ5 PJ6;
PJ7,Sint Maarten,518,NA,8,11,18.07,63.07,4.0,PJ7;
PY,Brazil,108,SA,11,12,-10.00,53.00,3.0,PP PQ PR PS PT PU PV PW PX PY ZV ZW ZX ZY ZZ =PY4MAB/BNC;
PY0F,Fernando de Noronha,56,SA,11,13,-3.85,32.43,2.0,PP0F PQ0F PR0F PS0F PT0F PU0F PV0F PW0F PX0F PY0F PY0Z ZV0F ZW0F ZX0F ZY0F ZY0R ZY0Z ZZ0F;
PY0S,St. Peter & St. Paul,253,SA,11,13,0.00,29.00,2.0,PP0S PQ0S PR0S PS0S PT0S PU0S PV0S PW0S PX0S PY0S ZV0S ZW0S ZX0S ZY0S ZZ0S;
PY0T,Trindade & Martim Vaz,273,SA,11,15,-20.50,29.32,2.0,PP0M PP0T PQ0M PQ0T PR0M PR0T PS0M PS0T PT0M PT0T PU0M PU0T PV0M PV0T PW0M PW0T PX0M PX0T PY0M PY0T ZV0M ZV0T ZW0M ZW0T ZX0M ZX0T ZY0M ZY0T ZZ0M ZZ0T;
PZ,Suriname,140,SA,9,12,4.00,56.00,3.0,PZ;
R1FJ,Franz Josef Land,61,EU,40,75,80.68,-49.92,-3.0,FJL R1FJ RI1FJ;
R1MV,Malyj Vysotskij,151,EU,16,29,60.28,-28.62,-3.0,MVI R1MV RI1MV;
S0,Western Sahara,302,AF,33,46,24.82,13.85,0.0,S0;
S2,Bangladesh,305,AS,22,41,24.12,-89.65,-6.0,S2 S3;
S5,Slovenia,499,EU,15,28,46.00,-14.00,-1.0,S5;
S7,Seychelles,379,AF,39,53,-4.67,-55.47,-4.0,S7;
S9,Sao Tome & Principe,219,AF,36,47,0.22,-6.57,0.0,S9;
SM,Sweden,284,EU,14,18,61.20,-14.57,-1.0,7S 8S SA SB SC SD SE SF SG SH SI SJ SK SL SM;
SP,Poland,269,EU,15,28,52.28,-18.67,-1.0,3Z HF SN SO SP SQ SR;
ST,Sudan,466,AF,34,48,14.47,-28.62,-3.0,6T 6U ST;
ST0,Republic of South Sudan,521,AF,34,48,4.85,-31.60,-3.0,=ST0R;
SU,Egypt,478,AF,34,38,26.28,-28.60,-2.0,6A 6B SS SU;
SV,Greece,236,EU,20,28,39.78,-21.78,-2.0,J4 SV SW SX SY SZ =SV9DRU/1;
SV/a,Mount Athos,180,EU,20,28,40.00,-24.00,-2.0,=SV2ASP/A;
SV5,Dodecanese,45,EU,20,28,36.17,-27.93,-2.0,J45 SV5 SW5 SX5 SY5 SZ5 =SV0XAN/5 =SV0XCA/5 =SV9DJO/5 =SX65AP =SX65AP/5;
SV9,Crete,40,EU,20,28,35.23,-24.78,-2.0,J49 SV9 SW9 SX9 SY9 SZ9 =SV0LB =SV0XAI/9 =SV0XBN/9 =SV0XBZ/9 =SV0XCC/9;
T2,Tuvalu,282,OC,31,65,-8.50,-179.20,-12.0,T2;
T30,Western Kiribati,301,OC,31,65,1.42,-173.00,-12.0,T30;
T31,Central Kiribati,31,OC,31,62,-2.83,171.72,-13.0,T31;
T32,Eastern Kiribati,48,OC,31,61,1.80,157.35,-14.0,T32;
T33,Banaba,490,OC,31,65,-0.88,-169.53,-12.0,T33;
T5,Somalia,232,AF,37,48,2.03,-45.35,-3.0,6O T5;
T7,San Marino,278,EU,15,28,43.95,-12.45,-1.0,T7;
T8,Palau,22,OC,27,64,7.45,-134.53,-9.0,T8;
TA,Asiatic Turkey,390,AS,20,39,39.18,-35.65,-2.0,TA TB TC YM TA1 TB1 TC1 YM1;
TF,Iceland,242,EU,40,17,64.80,18.73,0.0,TF;
TG,Guatemala,76,NA,7,11,15.50,90.30,6.0,TD TG;
TI,Costa Rica,308,NA,7,11,10.00,84.00,6.0,TE TI;
TI9,Cocos Island,37,NA,7,11,5.52,87.05,6.0,TE9 TI9;
TJ,Cameroon,406,AF,36,47,5.38,-11.87,-1.0,TJ;
TK,Corsica,214,EU,15,28,42.00,-9.00,-1.0,TK;
TL,Central African Rep,408,AF,36,47,6.75,-20.33,-1.0,TL;
TN,Congo,412,AF,36,52,-1.02,-15.37,-1.0,TN;
TR,Gabon,420,AF,36,52,-0.37,-11.73,-1.0,TR;
TT,Chad,410,AF,36,47,15.80,-18.17,-1.0,TT;
TU,Cote d'Ivoire,428,AF,35,46,7.58,5.80,0.0,TU;
TY,Benin,416,AF,35,46,9.87,-2.25,-1.0,TY;
TZ,Mali,442,AF,35,46,18.00,2.58,0.0,TZ;
UA,European Russia,54,EU,16,29,56.00,-37.00,-3.0,R U =UA9KAS/6/P;
